Accession,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_007046,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 66,Rosenblumvirus,Podoviridae,dsDNA,18199,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 66, complete genome"
NC_007048,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 69,Phietavirus,Siphoviridae,dsDNA,42732,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 69, complete genome"
NC_007049,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 53,Phietavirus,Siphoviridae,dsDNA,43883,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 53, complete genome"
NC_007050,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 85,Phietavirus,Siphoviridae,dsDNA,44283,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 85, complete genome"
NC_007051,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 2638A,Fibralongavirus,Siphoviridae,dsDNA,41318,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 2638A, complete genome"
NC_007052,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 42e,Triavirus,Siphoviridae,dsDNA,45861,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 42e, complete genome"
NC_007053,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 3a,Triavirus,Siphoviridae,dsDNA,43095,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 3A, complete genome"
NC_007054,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 47,Triavirus,Siphoviridae,dsDNA,44777,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 47, complete genome"
NC_007055,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 37,Phietavirus,Siphoviridae,dsDNA,43681,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 37, complete genome"
NC_007056,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus EW,Phietavirus,Siphoviridae,dsDNA,45286,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage EW, complete genome"
NC_007057,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 96,Phietavirus,Siphoviridae,dsDNA,43576,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 96, complete genome"
NC_007058,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus phage ROSA,Phietavirus,Siphoviridae,dsDNA,43155,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage ROSA, complete genome"
NC_007059,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 71,Phietavirus,Siphoviridae,dsDNA,43114,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 71, complete genome"
NC_007060,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 55,Phietavirus,Siphoviridae,dsDNA,41902,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 55, complete genome"
NC_007061,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 29,Phietavirus,Siphoviridae,dsDNA,42802,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 29, complete genome"
NC_007062,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 52a,Phietavirus,Siphoviridae,dsDNA,41690,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 52A, complete genome"
NC_007063,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 88,Phietavirus,Siphoviridae,dsDNA,43231,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 88, complete genome"
NC_007064,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus 92,Phietavirus,Siphoviridae,dsDNA,42431,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 92, complete genome"
NC_007065,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus X2,Phietavirus,Siphoviridae,dsDNA,43440,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage X2, complete genome"
NC_007066,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-23T00:00:00Z,Staphylococcus virus G1,Kayvirus,Herelleviridae,dsDNA,138715,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage G1, complete genome"
NC_007021,,"Kwan,T., Liu,J., DuBow,M., Gros,P., Pelletier,J.",2005-05-21T00:00:00Z,Staphylococcus virus Twort,Twortvirus,Herelleviridae,dsDNA,130706,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Twort, complete genome"
NC_005880,,"Gill,J.J.",2004-06-14T00:00:00Z,Staphylococcus virus K,Kayvirus,Herelleviridae,dsDNA,148317,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage K, complete genome"
NC_005356,,"Liu,J., Dehbi,M., Moeck,G., Arhin,F., Bauda,P., Bergeron,D., Callejo,M., Ferretti,V., Ha,N., Kwan,T., McCarty,J., Srikumar,R., Williams,D., Wu,J.J., Gros,P., Pelletier,J., DuBow,M., Dubow,M.",2004-01-23T00:00:00Z,Staphylococcus virus 77,Biseptimavirus,Siphoviridae,dsDNA,41708,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 77, complete genome"
NC_004740,,"Kuroda,M., Ohta,T., Uchiyama,I., Baba,T., Yuzawa,H., Kobayashi,I., Cui,L., Oguchi,A., Aoki,K., Nagai,Y., Lian,J., Ito,T., Kanamori,M., Matsumaru,H., Maruyama,A., Murakami,H., Hosoyama,A., Mizutani-Ui,Y., Takahashi,N.K., Sawano,T., Inoue,R., Kaito,C., Sekimizu,K., Hirakawa,H., Kuhara,S., Goto,S., Yabuzaki,J., Kanehisa,M., Yamashita,A., Oshima,K., Furuya,K., Yoshino,C., Shiba,T., Hattori,M., Ogasawara,N., Hayashi,H., Hiramatsu,K., Director-General, Biotechnology Center, Kikuchi,H.",2003-04-22T00:00:00Z,Staphylococcus phage phiN315,,Siphoviridae,dsDNA,44082,RefSeq,complete,,,1,,,Staphylococcus aureus subsp. aureus N315,,,,"Staphylococcus prophage phiN315, complete genome"
NC_004678,,"Vybiral,D., Takac,M., Loessner,M., Witte,A., von Ahsen,U., Blasi,U., Blaesi,U.",2003-04-05T00:00:00Z,Staphylococcus virus 44AHJD,Rosenblumvirus,Podoviridae,dsDNA,16784,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage 44AHJD, complete genome"
NC_004679,,"Vybiral,D., Takac,M., Loessner,M., Witte,A., von Ahsen,U., Blasi,U., Blaesi,U.",2003-04-05T00:00:00Z,Staphylococcus phage P68,Rosenblumvirus,Podoviridae,dsDNA,18227,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiP68, complete genome"
NC_004615,,"Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.",2003-03-18T00:00:00Z,Staphylococcus virus 11,Phietavirus,Siphoviridae,dsDNA,43604,RefSeq,complete,,,1,,,Staphylococcus aureus subsp. aureus NCTC 8325,,,,"Staphylococcus phage 11, complete genome"
NC_004616,,"Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.",2003-03-18T00:00:00Z,Staphylococcus virus phi12,Triavirus,Siphoviridae,dsDNA,44970,RefSeq,complete,,,1,,,Staphylococcus aureus subsp. aureus NCTC 8325,,,,"Staphylococcus prophage phi 12, complete genome"
NC_004617,,"Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.",2003-03-18T00:00:00Z,Staphylococcus virus 13,Biseptimavirus,Siphoviridae,dsDNA,42722,RefSeq,complete,,,1,,,Staphylococcus aureus subsp. aureus NCTC 8325,,,,"Staphylococcus prophage phi 13, complete genome"
NC_002661,,"Narita,S., Kaneko,J., Chiba,J., Piemont,Y., Jarraud,S., Etienne,J., Kamio,Y.",2001-02-07T00:00:00Z,Staphylococcus virus phiSLT,Triavirus,Siphoviridae,dsDNA,42942,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiSLT, complete genome"
NC_002486,,"Zou,D., Kaneko,J., Narita,S., Kamio,Y., Kimura,T., Kawakami,Y., Tomita,T.",2000-07-04T00:00:00Z,Staphylococcus prophage phiPV83,Biseptimavirus,Siphoviridae,dsDNA,45636,RefSeq,complete,,,2,,,Staphylococcus aureus,,,,"Staphylococcus prophage phiPV83, complete genome"
NC_003288,,"Yamaguchi,T., Hayashi,T., Takami,H., Nakasone,K., Ohnishi,M., Nakayama,K., Yamada,S., Komatsuzawa,H., Sugai,M.",2000-07-04T00:00:00Z,Staphylococcus virus phiETA,Phietavirus,Siphoviridae,dsDNA,43081,RefSeq,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage phiETA, complete genome"
NC_002321,,"Kaneko,J., Kimura,T., Narita,S., Tomita,T., Kamio,Y., Kawakami,Y.",1998-07-25T00:00:00Z,Staphylococcus phage PVL,Biseptimavirus,Siphoviridae,dsDNA,41401,RefSeq,complete,,,2,,,Staphylococcus aureus,,,,"Staphylococcus phage PVL proviral DNA, complete sequence"
MW924889,,"Kittl,S., Brodard,I., Overesch,G., Jores,J., Labroussaa,F.",2021-05-04T00:00:00Z,Staphylococcus phage vB_StaphS-IVBph354,,,unknown,41970,GenBank,complete,,,,Switzerland,,Staphylococcus aureus,,,,"Staphylococcus phage vB_StaphS-IVBph354, complete genome"
MW528836,,"Save,J., Marchet,A., Que,Y.-A., Resch,G.",2021-04-14T00:00:00Z,Staphylococcus phage vB_SauH_2002,,,unknown,145076,GenBank,complete,,,,,,Staphylococcus aureus,,2012,,"Staphylococcus phage vB_SauH_2002, complete genome"
MN091626,,"Lee,Y., Son,B., Cha,Y., Ryu,S.",2021-03-11T00:00:00Z,Staphylococcus phage PALS_2,,Myoviridae,dsDNA,268748,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage PALS_2, complete genome"
CP071049,,"Karakatsanis,N.M., Colombi,E., Mowlaboccus,S., Coombs,G.W., Ramsay,J.P.",2021-03-03T00:00:00Z,Staphylococcus phage WBG8381,Phietavirus,Siphoviridae,dsDNA,42493,GenBank,complete,,,,Australia: remote Western Australia,,Staphylococcus aureus,,1995,SAMN14225427,"Staphylococcus phage WBG8381, complete sequence"
MW460250,,"Yerushalmy,O., Alkalay-Oren,S., Coppenhagen-Glazer,S., Hazan,R.",2021-02-08T00:00:00Z,Staphylococcus phage SAOMS1,Kayvirus,Herelleviridae,dsDNA,140135,GenBank,complete,,,,Israel,,Staphylococcus aureus,,,,"Staphylococcus phage SAOMS1, complete genome"
MW349128,,"Korn,A., Hillhouse,A., Gill,J.",2021-01-18T00:00:00Z,Staphylococcus phage Machias,,Myoviridae,dsDNA,274478,GenBank,complete,,,,USA: Minnesota,MN,Staphylococcus aureus,,2016,,"Staphylococcus phage Machias, complete genome"
MW349129,,"Korn,A., Hillhouse,A., Gill,J.",2021-01-18T00:00:00Z,Staphylococcus phage Madawaska,,Myoviridae,dsDNA,265446,GenBank,complete,,,,USA: Texas,TX,Staphylococcus aureus,,2016,,"Staphylococcus phage Madawaska, complete genome"
MW363798,,"Liu,A.A., Ma,F.F.",2021-01-17T00:00:00Z,Staphylococcus phage LSA2308,Silviavirus,Herelleviridae,dsDNA,144592,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage LSA2308, complete genome"
MW363799,,"Liu,A.A., Ma,F.F.",2021-01-17T00:00:00Z,Staphylococcus phage LSA2366,Rosenblumvirus,Podoviridae,dsDNA,17056,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage LSA2366, complete genome"
MW248466,,"Korn,A., Hillhouse,A., Gill,J.J.",2021-01-13T00:00:00Z,Staphylococcus phage MarsHill,,Myoviridae,dsDNA,266637,GenBank,complete,,,,USA: Texas,TX,Staphylococcus aureus,,2015,,"Staphylococcus phage MarsHill, complete genome"
MW238767,,"Hu,Y., Nazir,A., Sun,Q., Zhang,X., Zhao,F., Fan,H., Tong,Y.",2020-12-13T00:00:00Z,Staphylococcus phage IME1364_02,Phietavirus,Siphoviridae,dsDNA,42338,GenBank,complete,,,,China,,Staphylococcus aureus,,,,"Staphylococcus phage IME1364_02, complete genome"
MT899504,,"Feng,T., Leptihn,S., Dong,K., Loh,B., Zhang,Y., Li,M., Guo,X., Cui,Z.",2020-11-27T00:00:00Z,Staphylococcus phage JD419,Triavirus,Siphoviridae,dsDNA,45509,GenBank,complete,,,,China: Shanghai,,Staphylococcus aureus,"lung, oronasopharynx",2012-11-12,,"Staphylococcus phage JD419, complete genome"
MT926124,,"Sabirova,J.S., Letzel,S., Boedecker,C., Musken,M., Knierim,D., Kiljunen,S., Rhode,C., Wittmann,J.",2020-10-13T00:00:00Z,Staphylococcus phage vB_SauP_EBHT,Rosenblumvirus,Podoviridae,dsDNA,17471,GenBank,complete,,,,Germany,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauP_EBHT, complete genome"
MN539736,,"Lubowska,N., Grygorcewicz,B., Kosznik-Kwasnicka,K., Zauszkiewicz-Pawlak,A., Wegrzyn,A., Dolegowska,B., Piechowicz,L.",2020-09-29T00:00:00Z,Staphylococcus phage vB_SauM-A,,Herelleviridae,dsDNA,139088,GenBank,complete,,,,Poland,,Staphylococcus aureus,,2014-06,,"UNVERIFIED: Staphylococcus phage vB_SauM-A, complete genome"
MN539737,,"Lubowska,N., Grygorcewicz,B., Kosznik-Kwasnicka,K., Zauszkiewicz-Pawlak,A., Wegrzyn,A., Dolegowska,B., Piechowicz,L.",2020-09-29T00:00:00Z,Staphylococcus phage vB_SauM-C,,Herelleviridae,dsDNA,140086,GenBank,complete,,,,Poland,,Staphylococcus aureus,,2014-10,,"UNVERIFIED: Staphylococcus phage vB_SauM-C, complete genome"
MN539738,,"Lubowska,N., Grygorcewicz,B., Kosznik-Kwasnicka,K., Zauszkiewicz-Pawlak,A., Wegrzyn,A., Dolegowska,B., Piechowicz,L.",2020-09-29T00:00:00Z,Staphylococcus phage vB_SauM-D,,Herelleviridae,dsDNA,139031,GenBank,complete,,,,Poland,,Staphylococcus aureus,,2015-02,,"UNVERIFIED: Staphylococcus phage vB_SauM-D, complete genome"
MT787017,,"Jiang,L.",2020-09-29T00:00:00Z,Staphylococcus phage WV,Kayvirus,Herelleviridae,dsDNA,141342,GenBank,complete,,,,,,Staphylococcus aureus,,,,"UNVERIFIED: Staphylococcus phage WV, complete genome"
LC576631,,"Soleimani-Delfan,A., Bouzari,M., Wang,R.",2020-08-25T00:00:00Z,Staphylococcus phage vB_SauH_DELF3,Silviavirus,Herelleviridae,dsDNA,136569,GenBank,partial,,,,Iran,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauH_DELF3 DNA, complete sequence"
MT786458,,"Zhang,Z.",2020-08-24T00:00:00Z,Staphylococcus phage vB_SauH_SAP1,Kayvirus,Herelleviridae,dsDNA,143375,GenBank,complete,,,,China,,Staphylococcus aureus,,2019-10-09,,"Staphylococcus phage vB_SauH_SAP1, complete genome"
MT724048,,"Ge,Z., Han,S.",2020-08-03T00:00:00Z,Staphylococcus phage SAP3,Phietavirus,Siphoviridae,dsDNA,41949,GenBank,partial,,,,China,,Staphylococcus aureus,,2019-11-01,,"Staphylococcus phage SAP3, partial genome"
MK922546,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-05-31T00:00:00Z,Staphylococcus phage SA1-CTA1,Rosenblumvirus,Podoviridae,dsDNA,17527,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA1-CTA1, complete genome"
MK922547,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-05-31T00:00:00Z,Staphylococcus phage SA30-CTH2,Rosenblumvirus,Podoviridae,dsDNA,17545,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA30-CTH2, complete genome"
MK922548,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-05-31T00:00:00Z,Staphylococcus phage SA46-CTH4,Rosenblumvirus,Podoviridae,dsDNA,17473,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA46-CTH4, complete genome"
MK936475,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-05-31T00:00:00Z,Staphylococcus phage SA03-CTH2,Rosenblumvirus,Podoviridae,dsDNA,17511,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA03-CTH2, complete genome"
MK936476,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-05-31T00:00:00Z,Staphylococcus phage SA46-CL1,Rosenblumvirus,Podoviridae,dsDNA,17508,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA46-CL1, complete genome"
MN433877,,"Soleimani Delfan,A., Bouzari,M., Wang,R.",2020-05-26T00:00:00Z,Staphylococcus phage ASD1,Biseptimavirus,Siphoviridae,dsDNA,158,GenBank,partial,,,,Iran,,Staphylococcus aureus,,,,"Staphylococcus phage ASD1 minor structural protein gene, partial cds"
MT366568,,"Petrics,B., Szenasy,D., Dunai,D., Schneider,G.",2020-05-19T00:00:00Z,Staphylococcus phage R4,,,unknown,45168,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage R4, complete genome"
LC492751,,"Kitamura,N., Matsuzaki,S., Yamamoto,T.",2020-05-13T00:00:00Z,Staphylococcus phage KSAP7,Silviavirus,Herelleviridae,dsDNA,137950,GenBank,partial,,,,Japan:Kochi,,Staphylococcus aureus,,2018-05-01,,"Staphylococcus phage KSAP7 genomic DNA, compelete genome"
LC492752,,"Kitamura,N., Matsuzaki,S., Yamamoto,T.",2020-05-13T00:00:00Z,Staphylococcus phage KSAP11,Silviavirus,Herelleviridae,dsDNA,138307,GenBank,partial,,,,Japan,,Staphylococcus aureus,,2017-05-01,,"Staphylococcus phage KSAP11 genomic DNA, compelete genome"
MK903033,,"Hoang,D.M., Hoang,S.M., Matsuda,Y., Honjoh,K.-I., Miyamoto,T.",2020-05-10T00:00:00Z,Staphylococcus phage SA44-CTH7,Rosenblumvirus,Podoviridae,dsDNA,17522,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA44-CTH7, complete genome"
LC541428,,"Zhang,L., Hou,X., Wang,H., Wang,R., Soleimani-Delfan,A., Shahin,K.",2020-04-17T00:00:00Z,Staphylococcus phage vB_SauS_JS02,Triavirus,Siphoviridae,dsDNA,46435,GenBank,complete,,,,China,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauS_JS02 DNA, complete genome"
MN336261,,"Sergueev,K.V., Filippov,A.A., Farlow,J., Su,W., Kvachadze,L., Balarjishvili,N., Kutateladze,M., Nikolich,M.P., Filippov,A., Kvachadze,W., Kotaria,L., Nikolicha,M.P.",2020-03-03T00:00:00Z,Staphylococcus phage Sb1_8383,Kayvirus,Herelleviridae,dsDNA,139606,GenBank,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Sb1_8383, complete genome"
MN336262,,"Sergueev,K.V., Filippov,A.A., Farlow,J., Su,W., Kvachadze,L., Balarjishvili,N., Kutateladze,M., Nikolich,M.P., Filippov,A., Kvachadze,W., Kotaria,L., Nikolicha,M.P.",2020-03-03T00:00:00Z,Staphylococcus phage Sb1M_6168,Kayvirus,Herelleviridae,dsDNA,138231,GenBank,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Sb1M_6168, complete genome"
MN336263,,"Sergueev,K.V., Filippov,A.A., Farlow,J., Su,W., Kvachadze,L., Balarjishvili,N., Kutateladze,M., Nikolich,M.P., Filippov,A., Kvachadze,W., Kotaria,L., Nikolicha,M.P.",2020-03-03T00:00:00Z,Staphylococcus phage Sb1M_9832,Kayvirus,Herelleviridae,dsDNA,138231,GenBank,complete,,,1,,,Staphylococcus aureus,,,,"Staphylococcus phage Sb1M_9832, complete genome"
MN940411,,"Naseem,S.",2020-02-17T00:00:00Z,Staphylococcus phage f2b1,,Herelleviridae,dsDNA,161551,GenBank,partial,,,,Pakistan,,Staphylococcus aureus,,2017-04-17,,"Staphylococcus phage f2b1, partial genome"
MN904510,,"Park,D., Park,J.",2020-02-16T00:00:00Z,Staphylococcus phage vB_SauS-SAP27,Phietavirus,Siphoviridae,dsDNA,43444,GenBank,complete,,,,,,Staphylococcus aureus subsp. aureus RN4220,,,,"Staphylococcus phage vB_SauS-SAP27, complete genome"
MK658834,,"Lozano-Solano,D., Acosta-Hoyos,A., Reales-Gonzalez,J., Arquez,M.",2020-02-13T00:00:00Z,Staphylococcus virus Baq_Sau1,Phietavirus,Siphoviridae,dsDNA,44384,GenBank,partial,,,,,,Staphylococcus aureus subsp. aureus RN4220,,,,"Staphylococcus virus Baq_Sau1, partial genome"
MT013111,"SRR10581306,SRR10581307","DSouza,R., White,R.C., Buzzeo,R., Goglin,K., Vashee,S., Lee,Y., Son,B., Ryu,S., Fouts,D.E., Dsouza,R.",2020-02-13T00:00:00Z,Staphylococcus phage SA75,Phietavirus,Siphoviridae,dsDNA,43134,GenBank,complete,,,,South Korea,,Staphylococcus aureus subsp. aureus RN4220,feces,,SAMN13389916,"Staphylococcus phage SA75, complete genome"
MK764384,,"Hoang,D.M., Hoang,S.M., Honjoh,K.-I., Miyamoto,T.",2020-01-07T00:00:00Z,Staphylococcus phage SA46-CTH2,Rosenblumvirus,Podoviridae,dsDNA,17505,GenBank,complete,,,,Japan,,Staphylococcus aureus,,2017,,"Staphylococcus phage SA46-CTH2, complete genome"
MK905736,,"Aulakh,J.J.K., Chhibber,S.",2019-12-25T00:00:00Z,Bacteriophage MR-5,,,unknown,1488,GenBank,partial,,,,,,Staphylococcus aureus,,,,"Bacteriophage MR-5 endolysin (lysMR-5) gene, complete cds"
MK902764,,"Aung,M.S., San,T., Urushibara,N., Kobayashi,N.",2019-10-20T00:00:00Z,Staphylococcus phage phiSa2usa,,,unknown,5114,GenBank,partial,,,,Myanmar,,Staphylococcus aureus,,2018-09-30,,"Staphylococcus phage phiSa2usa ORF488-like protein, ORF59-like protein, ORF99-like protein, holin, lysin, Panton-Valentine leukocidin LukS-PV (lukS-PV), and Panton-Valentine leukocidin LukF-PV (lukF-PV) genes, complete cds"
MN098325,SRR8761742,"Bonasera,R.M., Korn,A., Newkirk,H., O'Leary,C., Gill,J., Liu,M.",2019-10-09T00:00:00Z,Staphylococcus phage Portland,Rosenblumvirus,Podoviridae,dsDNA,17711,GenBank,complete,,,1,USA: KS,KS,Staphylococcus aureus,,2015,SAMN11191518,"Staphylococcus phage Portland, complete genome"
MN304941,,"Gao,M., Tong,Y., Bai,C.",2019-09-25T00:00:00Z,Staphylococcus phage vB_SauH_IME522,Kayvirus,Herelleviridae,dsDNA,140246,GenBank,complete,,,,China,,Staphylococcus aureus,,,,"Staphylococcus phage vB_SauH_IME522, complete genome"
MN045228,SRR8869226,"Moreland,R., Korn,A., Newkirk,H., Liu,M., Gill,J.J., Cahill,J., Ramsey,J.",2019-09-11T00:00:00Z,Staphylococcus phage Maine,Kayvirus,Herelleviridae,dsDNA,141712,GenBank,complete,,,1,USA: TX,TX,Staphylococcus aureus,,2018,SAMN11360374,"Staphylococcus phage Maine, complete genome"
MN047438,,"Kornienko,M., Kuptsov,N., Guliaev,A., Veselovsky,V., Babenko,V., Letarova,M., Malakhova,M., Kostryukova,E., Letarov,A., Shitikov,E., Ilina,E.",2019-08-14T00:00:00Z,Staphylococcus phage vB_SauM-515A1,Kayvirus,Herelleviridae,dsDNA,148511,GenBank,partial,,,,,,Staphylococcus aureus,,,,Staphylococcus phage vB_SauM-515A1
MN150710,,"Kornienko,M., Kuptsov,N., Guliaev,A., Veselovsky,V., Malakhova,M., Kostryukova,E., Letarov,A., Shitikov,E., Ilina,E.",2019-08-14T00:00:00Z,Staphylococcus phage vB_SauP-436A1,Rosenblumvirus,Podoviridae,dsDNA,18028,GenBank,complete,,,,Russia,,Staphylococcus aureus,oronasopharynx,2019,,"Staphylococcus phage vB_SauP-436A1, complete genome"
MK940809,,"Coombs,G.W., Baines,S.L., Howden,B.P., Swenson,K.M., O'Brien,F.G., Lim,F.G.",2019-07-15T00:00:00Z,Staphylococcus phage Sa2wa_st8,Triavirus,Siphoviridae,dsDNA,45914,GenBank,complete,,,1,,,Staphylococcus aureus,,2008,,"Staphylococcus phage Sa2wa_st8, complete genome"
MK801680,,"Yu,J.-H., Park,J.-H., Chang,H.-J., Lim,J.-A.",2019-07-07T00:00:00Z,Staphylococcus phage SAP8,Triavirus,Siphoviridae,dsDNA,45533,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SAP8, complete genome"
MK801681,,"Yu,J.-H., Park,J.-H., Chang,H.-J., Lim,J.-A.",2019-07-07T00:00:00Z,Staphylococcus phage SAP11,Triavirus,Siphoviridae,dsDNA,45346,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SAP11, complete genome"
MK801682,,"Yu,J.-H., Park,J.-H., Chang,H.-J., Lim,J.-A.",2019-07-07T00:00:00Z,Staphylococcus phage SAP33,Phietavirus,Siphoviridae,dsDNA,42414,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SAP33, complete genome"
MK801683,,"Yu,J.-H., Park,J.-H., Chang,H.-J., Lim,J.-A.",2019-07-07T00:00:00Z,Staphylococcus phage SAP40,Phietavirus,Siphoviridae,dsDNA,42911,GenBank,complete,,,,,,Staphylococcus aureus,,,,"Staphylococcus phage SAP40, complete genome"
